Year,Team,G,P,Opposition,G,P,Diff
1997,Mayo,0,1,Monaghan,2,14,-19
1996,Mayo,1,7,Sligo,2,7,-3
1996,Mayo,1,6,Donegal,4,4,-7
1996,Mayo,4,7,Leitrim,0,3,16
1996,Mayo,0,11,Longford,2,8,-3
1996,Mayo,0,7,Tyrone,2,8,-7
1996,Mayo,4,8,Monaghan,3,13,-2
1995,Mayo,2,3,Tyrone,0,3,6
1995,Mayo,2,8,Leitrim,0,4,10
1995,Mayo,1,3,Longford,3,5,-8
1995,Mayo,2,17,Donegal,1,3,17
1995,Mayo,1,10,Sligo,1,7,3
1995,Mayo,0,10,Fermanagh,3,11,-10
1994,Mayo,1,10,Armagh,4,9,-8
1994,Mayo,0,7,Derry,3,14,-16
1994,Mayo,0,5,Kildare,3,10,-14
1994,Mayo,0,5,Roscommon,2,13,-14
1994,Mayo,3,9,Monaghan,4,10,-4
1994,Mayo,1,6,Wicklow,2,19,-16
1994,Mayo,0,2,Carlow,4,18,-28
1993,Mayo,0,0,Roscommon,0,0,0
1993,Mayo,0,8,Roscommon,0,8,0
1993,Mayo,2,10,Monaghan,2,3,7
1993,Mayo,1,6,Louth,1,9,-3
1993,Mayo,4,6,Tyrone,2,9,3
1993,Mayo,4,7,Donegal,1,9,7
1993,Mayo,4,9,Monaghan,2,4,11
1993,Mayo,2,11,Longford,0,11,6
1992,Mayo,5,12,Louth,1,5,19
1992,Mayo,2,13,Tyrone,0,7,12
1992,Mayo,3,16,Donegal,1,2,20
1992,Mayo,1,6,Monaghan,4,8,-11
1992,Mayo,1,10,Longford,2,5,2
1991,Mayo,4,6,Longford,1,5,10
1991,Mayo,3,9,Leitrim,2,2,10
1991,Mayo,0,7,Tyrone,0,4,3
1991,Mayo,3,15,Donegal,0,1,23
1991,Mayo,1,15,Louth,2,1,11
1991,Mayo,1,9,Cavan,3,2,1
1991,Mayo,3,12,Fermanagh,1,1,17
1990,Mayo,1,7,Roscommon,3,7,-6
