Year,Team,G,P,Opposition,G,P,Diff
1998,Kerry,1,17,Roscommon,2,12,2
1998,Kerry,5,21,Armagh,0,11,25
1998,Kerry,3,8,Carlow,2,13,-2
1997,Kerry,1,6,Cork,2,22,-19
1997,Kerry,0,6,Meath,3,10,-13
1997,Kerry,3,9,London,2,14,-2
1997,Kerry,2,17,Westmeath,1,7,13
1997,Kerry,2,11,Antrim,3,12,-4
1997,Kerry,0,3,Waterford,2,19,-22
1997,Kerry,0,11,Dublin,1,10,-2
1996,Kerry,0,8,Galway,1,13,-8
1996,Kerry,0,10,Offaly,1,8,-1
1996,Kerry,0,3,Waterford,1,5,-5
1996,Kerry,1,13,Cork,2,16,-6
1996,Kerry,1,5,Kilkenny,0,12,-4
1996,Kerry,1,7,Tipperary,3,10,-9
1996,Kerry,3,7,Clare,1,8,5
1995,Kerry,2,15,Down,2,10,5
1995,Kerry,0,6,Waterford,0,11,-5
1995,Kerry,4,12,Down,4,7,5
1995,Kerry,5,11,Carlow,0,6,20
1995,Kerry,1,6,Offaly,1,13,-7
1995,Kerry,2,13,Meath,0,7,12
1995,Kerry,1,10,Dublin,1,8,2
1995,Kerry,2,10,Wexford,6,14,-16
1994,Kerry,0,11,Kilkenny,2,8,-3
1994,Kerry,1,8,Clare,2,9,-4
1994,Kerry,1,11,Westmeath,1,8,3
1994,Kerry,1,9,Offaly,1,10,-1
1994,Kerry,2,11,Meath,3,15,-7
1994,Kerry,0,10,Dublin,1,5,2
1994,Kerry,0,12,Laois,2,4,2
1993,Kerry,0,5,Tipperary,0,14,-9
1993,Kerry,2,21,Kildare,3,8,10
1993,Kerry,1,9,Westmeath,2,4,2
1993,Kerry,4,14,Derry,0,6,20
1993,Kerry,1,10,Wicklow,0,12,1
1993,Kerry,3,11,Meath,2,8,6
1993,Kerry,0,10,Laois,0,12,-2
1993,Kerry,0,17,Carlow,0,8,9
1992,Kerry,1,7,Roscommon,1,3,4
1992,Kerry,0,10,Westmeath,3,11,-10
1992,Kerry,0,10,Derry,1,9,-2
1992,Kerry,1,10,Wicklow,0,6,7
1992,Kerry,1,8,Meath,2,5,0
1992,Kerry,0,8,Antrim,1,6,-1
1992,Kerry,2,8,Carlow,4,11,-9
1991,Kerry,0,6,Offaly,0,21,-15
1991,Kerry,2,7,Galway,4,7,-6
1991,Kerry,1,12,Down,1,14,-2
1991,Kerry,1,11,Derry,1,4,7
1991,Kerry,2,7,Meath,1,7,3
1991,Kerry,0,13,Antrim,0,12,1
1991,Kerry,0,4,Laois,3,15,-20
1990,Kerry,1,9,Clare,0,11,1
1990,Kerry,2,15,Wicklow,1,9,9
1990,Kerry,1,15,Roscommon,3,6,3
1990,Kerry,1,11,Derry,2,8,0
1990,Kerry,0,12,Armagh,1,4,5
1990,Kerry,4,15,Mayo,2,6,15
1990,Kerry,3,17,Monaghan,0,8,18
1990,Kerry,2,10,Kildare,1,2,11
1989,Kerry,0,2,Laois,2,6,-10
1989,Kerry,3,10,Westmeath,4,11,-4
1989,Kerry,1,8,Cork,2,12,-7
1989,Kerry,1,1,Meath,3,9,-14
1989,Kerry,1,11,Derry,2,5,3
1989,Kerry,1,3,Dublin,3,10,-13
1989,Kerry,0,6,Clare,0,15,-9
1988,Kerry,1,4,Laois,0,12,-5
1988,Kerry,2,9,Dublin,0,12,3
1988,Kerry,4,2,Offaly,5,17,-18
1988,Kerry,1,12,Antrim,0,14,1
1988,Kerry,1,10,Westmeath,2,12,-5
1988,Kerry,1,13,Roscommon,0,5,11
